what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1281652910920
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1281652911063
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1281652912594
closed,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1281652912595
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281652918400
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281652940223
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281652942338
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281652950606
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1281652952769
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1281652959779
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1281652960019
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1281652960170
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281652961860
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281652962214
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281652967773
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281652969535
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281653056908
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1281653058000
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281653058689
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281653059569
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281653103163
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281653103504
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281653103971
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281653104644
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281653140106
