what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669280014
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669293513
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669295334
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669476693
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1281669478993
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1281669479717
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1281669480378
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1281669480907
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281669481537
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669482500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669899241
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669901016
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669939664
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1281669944585
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669960003
started,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1281669962838
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1281669962874
started,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1281669962892
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1281669962959
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1281669963015
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1281669963558
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669963588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669965903
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281669966530
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1281669968451
