what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799609277
activated,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1281799613998
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281799618137
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799618581
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799754360
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1281799760929
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1281799761064
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1281799773504
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281799774662
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799775010
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799793639
activated,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1281799797291
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799805007
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799825422
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1281799827488
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799837132
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799853105
activated,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1281799856706
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1281799865853
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1281799866054
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1281799866745
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1281799867558
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281799867925
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799868674
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281799876252
