what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.jsdt.ui,1.0.200.v200905242047,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1281661053383
activated,editor,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.editor",1281661054112
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1281661073400
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1281661075724
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281661076183
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661076581
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661094381
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1281661097878
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordPrevious",1281661098040
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1281661098981
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1281661099297
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.wordNext",1281661099669
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1281661099968
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281661103773
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661104148
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661105079
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1281661107565
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281661108564
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661108929
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661138542
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661138907
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661175114
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661175965
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281661260817
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1281661265883
