what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657244090
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657244276
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657245711
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657250469
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657252387
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657255568
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657256165
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657256878
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657257245
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657302426
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657304043
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657306127
opened,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1281657310138
activated,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1281657310266
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1281657313148
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657313160
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657315853
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.wordPrevious",1281657316959
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.select.lineEnd",1281657317512
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1281657318823
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.textStart",1281657319276
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1281657320842
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1281657321651
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1281657322058
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1281657323220
